GENE	SYMBOL	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P
ENSG00000183117	CSMD1	8	2792875	4852494	10472	738	108953	7.3461	1.02E-13
ENSG00000140945	CDH13	16	82660408	83830204	4215	373	108947	6.6273	1.71E-11
ENSG00000185565	LSAMP	3	115521235	117716095	5182	352	109032	6.2394	2.20E-10
ENSG00000130598	TNNI2	11	1860219	1862910	2	1	109360	6.1094	5.00E-10
ENSG00000206013	IFITM5	11	298200	299526	4	2	109163	5.9675	1.20E-09
ENSG00000156970	BUB1B	15	40453224	40513337	73	7	109130	5.7735	3.88E-09
ENSG00000188859	FAM78B	1	166026674	166136206	261	20	109073	5.7562	4.30E-09
ENSG00000153707	PTPRD	9	8314246	10612723	6639	521	108982	5.5748	1.24E-08
ENSG00000178568	ERBB4	2	212240446	213403565	3063	212	109004	5.5728	1.25E-08
ENSG00000174469	CNTNAP2	7	145813453	148118090	6338	360	109034	5.4881	2.03E-08
ENSG00000149534	MS4A2	11	59855734	59863444	20	3	109186	5.4496	2.52E-08
ENSG00000144642	RBMS3	3	29322473	30051886	2011	151	109041	5.3203	5.18E-08
ENSG00000151322	NPAS3	14	33404139	34273382	1824	279	108990	5.2687	6.87E-08
ENSG00000185532	PRKG1	10	52750945	54058110	3425	232	109044	5.1736	1.15E-07
ENSG00000137310	TCF19	6	31126319	31134936	54	10	109348	5.1233	1.50E-07
ENSG00000203722	RAET1G	6	150238014	150244257	14	3	109235	5.0472	2.24E-07
ENSG00000118263	KLF7	2	207938861	208031991	193	35	108916	5.0314	2.43E-07
ENSG00000136267	DGKB	7	14184674	15014402	1839	142	108978	5.0301	2.45E-07
ENSG00000082068	WDR70	5	37379314	37753537	760	25	109087	5.0300	2.45E-07
ENSG00000133019	CHRM3	1	239549865	240078750	959	98	109056	5.0282	2.48E-07
ENSG00000065320	NTN1	17	8924859	9147317	591	70	109054	5.0095	2.73E-07
ENSG00000182606	TRAK1	3	42055294	42267381	476	45	109104	4.9983	2.89E-07
ENSG00000198026	ZNF335	20	44577292	44600833	53	12	109188	4.9558	3.60E-07
ENSG00000197444	OGDHL	10	50942689	50970425	62	9	108971	4.9516	3.68E-07
ENSG00000160293	VAV2	9	136627016	136857726	742	79	109045	4.9373	3.96E-07
ENSG00000144724	PTPRG	3	61547243	62283288	1803	167	109008	4.9339	4.03E-07
ENSG00000144229	THSD7B	2	137523115	138435287	2685	106	109072	4.9297	4.12E-07
ENSG00000157542	KCNJ6	21	38979678	39288749	643	81	109017	4.9117	4.51E-07
ENSG00000072832	CRMP1	4	5749811	5894785	408	81	108998	4.9010	4.77E-07
ENSG00000182621	PLCB1	20	8112824	8949003	1965	188	109033	4.8946	4.92E-07
ENSG00000123200	ZC3H13	13	46528600	46626894	181	12	109239	4.8796	5.32E-07
ENSG00000155016	CYP2U1	4	108852525	108874613	66	7	109141	4.8430	6.39E-07
ENSG00000184838	PRR16	5	119799973	120023027	771	63	109037	4.8267	6.94E-07
ENSG00000214787	MS4A4E	11	59968726	60010561	123	12	108998	4.7755	8.96E-07
ENSG00000049192	ADAMTS6	5	64444563	64777747	594	37	109001	4.7719	9.12E-07
ENSG00000178645	C10orf53	10	50887697	50918307	83	8	109209	4.7705	9.19E-07
ENSG00000100979	PLTP	20	44527399	44540794	20	8	108868	4.7519	1.01E-06
ENSG00000178031	ADAMTSL1	9	18473892	18910948	1127	141	108906	4.7439	1.05E-06
ENSG00000166479	TMX3	18	66340925	66382535	93	7	109207	4.7426	1.05E-06
ENSG00000149516	MS4A3	11	59824060	59838601	31	5	109151	4.7405	1.07E-06
ENSG00000108684	ASIC2	17	31340105	32501983	2835	291	109044	4.7319	1.11E-06
ENSG00000169439	SDC2	8	97505579	97624000	223	34	109031	4.7205	1.18E-06
ENSG00000186153	WWOX	16	78133310	79246564	4619	401	108983	4.7160	1.20E-06
ENSG00000115652	UXS1	2	106709759	106810795	197	26	109044	4.7086	1.25E-06
ENSG00000136928	GABBR2	9	101050391	101471479	1149	129	109071	4.7032	1.28E-06
ENSG00000112782	CLIC5	6	45868045	46048132	405	56	109066	4.6948	1.33E-06
ENSG00000170579	DLGAP1	18	3496030	4455335	1783	247	108997	4.6757	1.46E-06
ENSG00000108219	TSPAN14	10	82213922	82292879	133	19	109071	4.6739	1.48E-06
ENSG00000094631	HDAC6	X	48659784	48683392	8	3	109272	4.6733	1.48E-06
ENSG00000163606	CD200R1	3	112640056	112693969	220	22	109213	4.6400	1.74E-06
ENSG00000254997	KRTAP5-9	11	71259466	71260653	6	2	109298	4.6380	1.76E-06
ENSG00000104081	BMF	15	40380091	40401093	17	6	109141	4.6376	1.76E-06
ENSG00000153944	MSI2	17	55333212	55762046	749	143	109014	4.6370	1.77E-06
ENSG00000110077	MS4A6A	11	59939081	59952139	26	4	108891	4.6226	1.90E-06
ENSG00000179399	GPC5	13	92050929	93519490	3113	205	109023	4.6224	1.90E-06
ENSG00000161533	ACOX1	17	73937588	73975515	110	12	109110	4.6102	2.01E-06
ENSG00000111877	MCM9	6	119134605	119256327	313	19	109191	4.5953	2.16E-06
ENSG00000146376	ARHGAP18	6	129897277	130031370	273	46	108909	4.5952	2.16E-06
ENSG00000105568	PPP2R1A	19	52693292	52730687	129	15	109159	4.5915	2.20E-06
